ParameterIndex,Parameter,Perturbation_pct,BaselineValue,TestValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg
5,PEY1,5,0.76473505181457,0.802971804405299,0.997168679888487,78.582256249825,58.0301281648133,0.99606662496502,113.780997930807,91.1807773851591,561.635273423459,2.51126711988109,12
5,PEY1,10,0.76473505181457,0.841208556996027,0.997136924378948,79.0217087713005,58.2487890539056,0.99623400517397,111.33377103397,88.9783183818657,561.635273423459,2.5091511748253,12
6,PEY2,-10,-0.999999999999962,-0.899999999999966,0.997160256792272,78.6990594233,58.2074532060537,0.995908047671425,116.051923416413,93.2503915813811,561.635273423459,2.51244225437599,12
6,PEY2,-5,-0.999999999999962,-0.949999999999964,0.997175920242639,78.4817152385355,58.0530159271216,0.99590775417651,116.056085248708,93.2534067706654,561.635273423459,2.51244225437599,12
6,PEY2,0,-0.999999999999962,-0.999999999999962,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
6,PEY2,5,-0.999999999999962,-1.04999999999996,0.997199765847319,78.1496758931567,57.8389876802091,0.995907169459894,116.064376233717,93.2595438604037,561.635273423459,2.51244225437599,12
6,PEY2,10,-0.999999999999962,-1.09999999999996,0.997207696419255,78.0389331783377,57.7796181375476,0.995906878237821,116.068505394051,93.2626700611524,561.635273423459,2.51244225437599,12
7,PKY1,-10,38.0161294461456,34.214516501531,0.995990655579965,93.5118588278918,67.5131472281413,0.996529558007949,106.875818755472,84.4658444514248,561.635273423459,2.50617533957313,12
7,PKY1,-5,38.0161294461456,36.1153229738383,0.996923565882147,81.9131857411467,59.5141727552972,0.996398728293089,108.8717000365,84.9825321321859,561.635273423459,2.51043047409691,12
7,PKY1,0,38.0161294461456,38.0161294461456,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
7,PKY1,5,38.0161294461456,39.9169359184528,0.996922616361203,81.9258257460886,61.7646310351853,0.995145642464746,126.401707305409,105.332987875633,561.635273423459,2.51275180428675,11.7747183979975
7,PKY1,10,38.0161294461456,41.8177423907601,0.996230858945794,90.6674084481148,69.0904956473978,0.994181459951383,138.386611020084,118.699120376956,561.635273423459,2.51275183072512,11.2490613266583
8,PKY2,-10,1.41157173599834,1.2704145623985,0.996892902665331,82.320393243731,61.9975932539873,0.995475149495631,122.036340948916,100.210865834386,561.635273423459,2.51275183429858,12
