SampleID,SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ET_s,SA_deg,FY_N,FZ_N,IA_deg,P_kPa,P_psi,V_kph,V_mph,FZ_State_N,Pressure_State_psi,IA_State_deg,Speed_State_mph,ConditionID,Routing,ModelName
101,1,1,1,2,282.91,6.488,-2350.94,1127.47,-0.018,83.77,12.1498112899563,40.17,24.9604807921737,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
102,1,1,1,2,282.92,6.459,-2362.82,1132.03,-0.002,83.57,12.1208037424096,40.19,24.9729082160184,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
103,1,1,1,2,282.93,6.412,-2369.65,1130.81,-0.009,82.97,12.0337810997693,40.17,24.9604807921737,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
104,1,1,1,2,282.94,6.381,-2368.91,1125.47,-0.003,82.56,11.9743156272985,40.18,24.9666945040961,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
105,1,1,1,2,282.95,6.33,-2361.18,1116.65,-0.012,82.81,12.0105750617319,40.17,24.9604807921737,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
106,1,1,1,2,282.96,6.305,-2349.52,1110.35,0.013,83.32,12.0845443079761,40.15,24.948053368329,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
107,1,1,1,2,282.97,6.242,-2332.79,1105.48,-0.009,83.52,12.1135518555229,40.16,24.9542670802513,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
108,1,1,1,2,282.98,6.225,-2315.59,1106.54,-0,83.22,12.0700405342027,40.15,24.948053368329,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
109,1,1,1,2,282.99,6.185,-2297.01,1104.82,0.001,82.71,11.9960712879585,40.17,24.9604807921737,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
110,1,1,1,2,283,6.12,-2282.63,1109.18,0.01,82.41,11.9525599666384,40.16,24.9542670802513,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
111,1,1,1,2,283.01,6.096,-2277.18,1118.51,0.006,82.66,11.9888194010718,40.18,24.9666945040961,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
112,1,1,1,2,283.02,6.041,-2281.3,1124.15,-0.016,83.22,12.0700405342027,40.19,24.9729082160184,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
113,1,1,1,2,283.03,6.003,-2290.39,1133.44,-0,83.52,12.1135518555229,40.18,24.9666945040961,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
114,1,1,1,2,283.04,5.956,-2296.56,1130.62,-0.003,83.22,12.0700405342027,40.19,24.9729082160184,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
115,1,1,1,2,283.05,5.915,-2296.48,1125.49,-0.003,82.71,11.9960712879585,40.19,24.9729082160184,1150,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
116,1,1,1,2,283.06,5.881,-2288.11,1116.55,-0.003,82.31,11.938056192865,40.2,24.9791219279408,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
117,1,1,1,2,283.07,5.859,-2277.75,1112.68,0.004,82.66,11.9888194010718,40.22,24.9915493517856,1100,12,0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
118,1,1,1,2,283.08,5.821,-2263.15,1107.25,-0.009,83.02,12.041032986656,40.21,24.9853356398632,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
119,1,1,1,2,283.09,5.763,-2245.9,1106.27,-0.006,83.37,12.0917961948628,40.21,24.9853356398632,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
120,1,1,1,2,283.1,5.741,-2230.74,1103.06,-0.009,83.27,12.0772924210894,40.24,25.0039767756303,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
121,1,1,1,2,283.11,5.704,-2218.33,1105.98,-0.018,82.66,11.9888194010718,40.24,25.0039767756303,1100,12,-0,25,35,PRIMARY_MODEL_FIT,CMM_7IN_LATERAL_MODEL
