ConditionID,FZ_State_N,Pressure_State_psi,IA_State_deg,Speed_State_mph,SweepCount,SampleCount,MeasuredFZ_Mean_N,MeasuredFZ_Median_N,MeasuredPressure_Mean_psi,MeasuredIA_Mean_deg,MeasuredSpeed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N
51,200,14,2,25,1,526,211.675817490494,211.685,14.1027278843126,1.99573384030418,24.994089177001,-10.479,10.486,-629.46,645.44
52,450,14,2,25,1,526,436.993288973384,437.535,14.11576473648,1.99267300380228,24.9911358918668,-10.47,10.491,-1176.28,1136.49
53,650,14,2,25,1,526,659.623840304183,660.425,14.1131810794409,1.99303422053232,24.9970897146974,-10.483,10.466,-1662.49,1544.84
54,850,14,2,25,1,526,870.626254752852,871.2,14.1026892811125,1.99393536121673,24.9933567622877,-10.485,10.472,-2120.83,1990.05
55,1100,14,2,25,1,526,1095.77268060836,1098.24,14.0900853362611,1.99313498098859,24.9938292879092,-10.471,10.499,-2580.42,2432.59
56,200,14,4,25,1,526,217.75108365019,217.045,14.1010403729915,3.99256273764259,24.9925652818718,-10.466,10.461,-598.57,612.13
57,450,14,4,25,1,526,443.993117870722,444.72,14.1073602683315,3.98905703422053,24.9960855977517,-10.467,10.486,-1131.88,1066.9
58,650,14,4,25,1,526,668.832585551331,669.235,14.0969429190319,3.98862547528517,24.9938765404713,-10.466,10.492,-1638.55,1512.33
59,900,14,4,25,1,526,878.750209125475,879.08,14.0850090154404,3.99188403041825,24.9942663741091,-10.495,10.471,-2097.33,1941.44
60,1100,14,4,25,1,526,1106.31435361217,1106.045,14.0874410170503,3.99210266159696,24.9941836821253,-10.461,10.458,-2522.39,2367.88
