FullSweepID,Stage2RegionID,RunNumber,Stage2SweepType,Direction,PositivePeakSA_deg,NegativePeakSA_deg,RawCentralSpan_deg,StartTime_s,EndTime_s,Duration_s,SampleCount,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FY_Min_N,FY_Max_N,FY_Range_N,Stage2Pressure_psi,Stage2FZ_N,Stage2IA_deg,Stage2Speed_mph,P_Mean_kPa,P_Mean_psi,P_Std_kPa,FZ_Mean_N,FZ_Median_N,FZ_Std_N,FZ_Min_N,FZ_Max_N,FZ_RelativeRange,IA_Mean_deg,IA_Median_deg,IA_Std_deg,V_Mean_kph,V_Mean_mph,V_Std_kph,MaxAbsSL,FreeRollingFraction,MonotonicFraction,QC_SampleCount,QC_Duration,QC_SACoverage,QC_FYRange,QC_Monotonicity,QC_Pressure,QC_IA,QC_Speed,QC_FreeRolling,QC_FZ,QCPass,ModelRouting,RejectionReason
27,27,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9414761904762,-11.8532380952381,23.7947142857143,1226.972,1232.222,5.25,526,10.471,-10.486,-10.486,10.471,20.957,-1252.03,1189.39,2441.42,10,470,2,25,69.6938022813688,10.1082314169531,0.512084061992917,437.653307984791,438.595,14.9205810587802,387.82,473.47,0.195282663961058,1.99025475285171,1.991,0.0105930671953626,40.2168441064639,24.9895883704565,0.0502481692010491,0,1,0.996175908221797,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
28,28,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9792380952381,-12.0038095238095,23.9830476190476,1260.77,1266.029,5.25900000000001,527,10.499,-10.496,-10.496,10.499,20.995,-2210.84,2112.51,4323.35,10,880.3,4,25,69.6581973434536,10.1030673573057,0.498860655270546,880.65660341556,879.14,15.7753246229164,840.99,920.99,0.0909980207930478,3.99273624288425,3.992,0.0108918235772635,40.2242884250474,24.9942140555701,0.0486492091423533,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
29,29,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.954619047619,-11.870380952381,23.825,1294.567,1299.827,5.25999999999999,527,10.496,-10.496,-10.496,10.496,20.992,-1692.15,1627.9,3320.05,10,670,4,25,69.7842314990513,10.1213470661108,0.555127265505005,669.600872865275,668.97,13.6261872122719,636.97,703.11,0.0988684096446776,3.98990891840607,3.989,0.0107487401404722,40.2261859582543,24.9953931280412,0.0459341936324116,0,1,0.998091603053435,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
30,30,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9852857142857,-11.8595714285714,23.8448571428571,1328.355,1333.594,5.23900000000003,525,10.45,-10.449,-10.449,10.45,20.899,-621.66,605.94,1227.6,10,220,4,25,69.7233333333333,10.1125145339229,0.556424426578883,219.886723809524,220,14.5228171202659,184.99,260.6,0.343681818181818,3.99217333333333,3.992,0.0118631852971451,40.2251428571428,24.9947449750599,0.0534410263126365,0,1,0.99616122840691,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
31,31,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9532857142857,-12.0016666666667,23.9549523809524,1362.172,1367.422,5.25,526,10.48,-10.493,-10.493,10.48,20.973,-2654.96,2561.62,5216.58,10,1160,4,25,69.6035931558936,10.0951476894712,0.668931926119273,1104.84355513308,1100.765,25.8999481687991,1055.98,1164.67,0.0987404214341845,3.98971673003803,3.991,0.01029163254907,40.2222813688213,24.99296692865,0.04874544877245,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
32,32,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.957,-11.8719523809524,23.8289523809524,1395.96,1401.209,5.24900000000002,526,10.478,-10.478,-10.478,10.478,20.956,-1174.39,1127.92,2302.31,10,470,4,25,69.6935931558935,10.1082010858672,0.494469044599714,446.741064638783,446.78,14.5295415720165,413.78,480.67,0.149715743766507,3.9926349809886,3.992,0.0116152540385731,40.2215589353612,24.9925180293096,0.0533795336739221,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
33,33,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9479047619048,-11.9138571428571,23.8617619047619,1496.062,1501.312,5.25,526,10.448,-10.488,-10.488,10.448,20.936,-2594.34,2496.28,5090.62,14,1160,0,25,97.1346577946768,14.088191022082,0.607803678208589,1088.04711026616,1084.83,26.1447758601291,1036.13,1136.81,0.0928071679433643,-0.00476235741444867,-0.004,0.0103134950592306,40.216825095057,24.9895765573159,0.0524340476216646,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
34,34,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.943,-11.8977142857143,23.8407142857143,1529.85,1535.1,5.25,526,10.477,-10.474,-10.474,10.477,20.951,-2121.53,2025.24,4146.77,14,880.02,0,25,97.219144486692,14.1004447807605,0.574406385126688,870.213346007605,870.44,20.0351123262577,815.07,910.11,0.109186158724323,-0.00432699619771863,-0.004,0.0104895191822252,40.2223384030418,24.9930023680716,0.053256321140733,0,1,1,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
35,35,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.9347619047619,-11.8878095238095,23.8225714285714,1563.648,1568.887,5.23900000000003,525,10.442,-10.444,-10.444,10.442,20.886,-1640.51,1551.49,3192,14,670,0,25,97.2570666666666,14.1059449279539,0.645745445714934,649.047104761905,649.71,16.7398518762336,604.52,683.38,0.121377229841006,-0.00469333333333334,-0.004,0.0103880460757673,40.2249904761905,24.9946502899259,0.0598044675304856,0,1,0.998087954110899,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
36,36,2,MAIN_CORNERING_PART_1,POS_TO_NEG,11.937380952381,-11.8885238095238,23.8259047619048,1597.425,1602.675,5.25,526,10.486,-10.476,-10.476,10.486,20.962,-649.78,604.9,1254.68,14,220,0,25,97.107186311787,14.0842066203515,0.63893100565218,209.329410646388,209.17,15.902468063453,170.78,246.32,0.361141655113066,-5.13307984790875e-05,0,0.0112178101647456,40.2217490494297,24.992636160715,0.0519045070898239,0,1,0.998084291187739,1,1,1,1,1,1,1,1,1,1,1,PRIMARY_MODEL_FIT,NONE
