StructuralLegID,Stage2RegionID,RunNumber,Stage2SweepType,LegType,SampleCount,StartTime_s,EndTime_s,Duration_s,SA_Start_deg,SA_End_deg,SA_Min_deg,SA_Max_deg,SA_Range_deg,FZ_Mean_N,FZ_Median_N,P_Mean_kPa,IA_Mean_deg,V_Mean_kph
80,27,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,1226.522,1232.782,6.25999999999999,12.123,-12.023,-12.098,12.123,24.221,437.541642743222,438.26,69.6870972886762,1.99056299840511,40.21668261563
81,27,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1232.782,1235.581,2.79899999999998,-12.023,-1.016,-12.023,-1.016,11.007,444.369608540925,443.62,69.616334519573,1.99012099644128,40.2338078291815
82,28,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1257.41,1260.35,2.93999999999983,1.054,12.066,1.054,12.214,11.16,849.507559322034,851.58,69.8482372881356,3.99221016949153,40.1952542372881
83,28,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1260.35,1266.599,6.24900000000002,12.066,-12.042,-12.188,12.066,24.254,880.90356230032,879.455,69.6662939297125,3.99280511182109,40.223785942492
84,28,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1266.599,1269.399,2.79999999999995,-12.042,-1.008,-12.042,-1.008,11.034,902.183024911032,901.28,69.3688612099644,3.99174377224199,40.2311743772242
85,29,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,296,1291.187,1294.137,2.95000000000005,1.004,12.091,1.004,12.189,11.185,646.400574324324,649.155,69.5808445945946,3.98928040540541,40.2135810810811
86,29,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1294.137,1300.387,6.25,12.091,-12.027,-12.137,12.091,24.228,669.230686900958,668.965,69.7512460063898,3.99013738019169,40.2246006389776
87,29,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1300.387,1303.187,2.79999999999995,-12.027,-1.013,-12.027,-1.013,11.014,683.71103202847,683.65,69.357615658363,3.9886334519573,40.2228113879004
88,30,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,294,1324.955,1327.885,2.93000000000006,1.026,12.116,1.026,12.127,11.101,209.918911564626,210.38,69.7833673469388,3.99279591836735,40.2175510204082
89,30,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1327.885,1334.134,6.24900000000002,12.116,-12.005,-12.015,12.116,24.131,219.146980830671,218.985,69.6903833865815,3.99235623003195,40.2282587859425
90,30,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1334.134,1336.944,2.80999999999995,-12.005,-1.053,-12.005,-1.053,10.952,215.659007092199,215.24,69.6870921985816,3.99285106382979,40.2287588652482
91,31,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1358.802,1361.742,2.94000000000005,1.019,12.053,1.019,12.192,11.173,1073.62091525424,1077.13,69.8976610169492,3.98945423728814,40.2092881355932
92,31,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,1361.742,1368.002,6.25999999999999,12.053,-12.022,-12.201,12.053,24.254,1105.21677830941,1102.72,69.6339234449761,3.9894625199362,40.2225996810207
93,31,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1368.002,1370.802,2.79999999999995,-12.022,-1.002,-12.022,-1.002,11.02,1137.49551601423,1141.98,69.3807473309608,3.98939145907473,40.2250177935943
94,32,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1392.56,1395.5,2.94000000000005,1.023,12.116,1.023,12.163,11.14,428.468101694915,428.92,69.5943389830509,3.99262711864407,40.2165423728814
95,32,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,625,1395.5,1401.739,6.23900000000003,12.116,-12.035,-12.062,12.116,24.178,445.739552,445.6,69.676656,3.9929296,40.220624
96,32,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1401.739,1404.549,2.80999999999995,-12.035,-1.038,-12.035,-1.038,10.997,449.99695035461,449.68,69.6428368794326,3.99253191489362,40.2229432624114
97,33,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,297,1492.673,1495.633,2.96000000000004,1.007,12.054,1.007,12.198,11.191,1096.33818181818,1095.48,97.479595959596,-0.00504713804713805,40.2237037037037
98,33,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,625,1495.633,1501.872,6.23900000000003,12.054,-12.035,-12.156,12.054,24.21,1090.120096,1091.41,97.188432,-0.0048368,40.217552
99,33,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1501.872,1504.682,2.80999999999995,-12.035,-1.009,-12.035,-1.009,11.026,1114.14546099291,1113.7,97.0433333333334,-0.00522340425531915,40.237695035461
100,34,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1526.47,1529.41,2.94000000000005,1.007,12.085,1.007,12.176,11.169,879.81813559322,878.87,97.2673559322034,-0.00449491525423729,40.2062033898305
101,34,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1529.41,1535.66,6.25,12.085,-12.052,-12.131,12.085,24.216,871.9246485623,872.83,97.1741214057508,-0.00422683706070288,40.2219808306709
102,34,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1535.66,1538.469,2.80899999999997,-12.052,-1.014,-12.052,-1.014,11.038,890.440390070922,889.68,97.0839007092198,-0.00445035460992908,40.2261347517731
103,35,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1560.258,1563.198,2.94000000000005,1.012,12.086,1.012,12.149,11.137,661.416949152542,658.9,97.2644406779661,-0.00564406779661017,40.2141016949153
104,35,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,1563.198,1569.457,6.25900000000001,12.086,-12.011,-12.117,12.086,24.203,650.426156299841,651.63,97.2649122807017,-0.00477671451355662,40.2237639553429
105,35,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1569.457,1572.257,2.79999999999995,-12.011,-1.023,-12.011,-1.023,10.988,662.719003558719,663.09,97.2053024911032,-0.00501779359430605,40.2314946619217
106,36,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,292,1594.045,1596.955,2.90999999999985,1.043,12.071,1.043,12.101,11.058,220.534383561644,220.205,97.2025342465753,0.0029486301369863,40.2179794520548
107,36,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1596.955,1603.205,6.25,12.071,-12.017,-12.03,12.076,24.106,209.20250798722,208.93,97.1046645367412,0.00010223642172524,40.2196166134185
108,36,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,284,1603.205,1606.035,2.83000000000015,-12.017,-1.02,-12.029,-1.02,11.009,205.82676056338,204.72,97.0919366197183,-0.000961267605633803,40.227323943662
109,37,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1627.873,1630.813,2.94000000000005,1.035,12.082,1.035,12.18,11.145,1089.53640677966,1090.29,97.2697627118644,3.05084745762712e-05,40.2093220338983
110,37,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1630.813,1637.062,6.2489999999998,12.082,-12.012,-12.16,12.082,24.242,1085.94222044728,1085.165,97.2204472843451,-0.00139936102236422,40.2219808306709
111,37,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,281,1637.062,1639.862,2.80000000000018,-12.012,-1.043,-12.012,-1.043,10.969,1109.0724911032,1108.32,97.0744483985765,-0.00178291814946619,40.2329181494662
112,38,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,294,1661.641,1664.57,2.92899999999986,1.007,12.109,1.007,12.124,11.117,441.900680272109,440.38,97.2018367346939,0.00135714285714286,40.2184013605442
113,38,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,627,1664.57,1670.83,6.25999999999999,12.109,-12.044,-12.082,12.109,24.191,429.152503987241,428.96,97.17331738437,-0.00131578947368421,40.222966507177
114,38,2,MAIN_CORNERING_PART_1,EXIT_PARTIAL_LEG,282,1670.83,1673.64,2.81000000000017,-12.044,-1.053,-12.044,-1.053,10.991,434.511773049645,433.78,97.2035815602837,-0.000702127659574468,40.227304964539
115,39,2,MAIN_CORNERING_PART_1,ENTRY_PARTIAL_LEG,295,1695.458,1698.398,2.93999999999983,1.021,12.095,1.021,12.197,11.176,857.951186440678,857.48,97.238813559322,1.99443728813559,40.2122033898305
116,39,2,MAIN_CORNERING_PART_1,FULL_CENTRAL_SWEEP_RAW,626,1698.398,1704.647,6.24900000000002,12.095,-12.054,-12.111,12.095,24.206,871.809728434505,872.185,97.2543769968051,1.99382587859425,40.2231629392971
