Pressure_psi,Camber_deg,Fz_N,mu_peak,Fy_peak_N,ObservedSA_deg,Calpha_N_per_deg,Calpha_R2,N_total,N_peak,BoundaryFraction,PeakStatus
13.996141691307,-0,849.96,2.39165875460251,2350.64,9.4,NaN,NaN,815,135,0.774874289011623,RESOLVED
13.996141691307,2,664.36,2.42565956113987,1974.27,10.8,NaN,NaN,613,114,0.887428101889893,RESOLVED
13.996141691307,4,675.145,2.31871632212262,2050.01,8.8,NaN,NaN,692,90,0.724458714085783,RESOLVED
14.0324011257404,-0,679.03,2.37209842169769,2399.58,10.8,NaN,NaN,846,162,0.885681482696408,NEAR-PLATEAU
14.0324011257404,2,656.66,2.46193797080979,2072.13,10,NaN,NaN,720,115,0.820142704830641,RESOLVED
14.0324011257404,4,668.53,2.28882223297946,1971.03,7.8,NaN,NaN,694,92,0.640920295809367,RESOLVED
14.0686605601738,-0,850.74,2.37583289143015,2319.53,8.6,NaN,NaN,1106,179,0.705033612067552,RESOLVED
14.0686605601738,2,664.98,2.43508909992316,2061.45,9.2,NaN,NaN,987,156,0.754593175853018,NEAR-PLATEAU
14.0686605601738,4,668.97,2.28031734943003,2000.93,8,NaN,NaN,1001,134,0.656868379998358,RESOLVED
14.1049199946073,-0,678.705,2.36429590335666,2137.23,9.4,NaN,NaN,1230,193,0.77328068443567,RESOLVED
14.1049199946073,2,660.63,2.41965496615278,1990.93,9.6,NaN,NaN,994,148,0.789084333388131,NEAR-PLATEAU
14.1049199946073,4,667.42,2.34316965959042,2164.65,10.8,NaN,NaN,1025,195,0.886772312997783,RESOLVED
14.1411794290407,-0,679.415,2.33263442363247,2318.37,8.8,NaN,NaN,1068,175,0.722495894909688,RESOLVED
14.1411794290407,2,654.81,2.4196025095424,1973.87,9.8,NaN,NaN,969,177,0.803476264655243,RESOLVED
14.1411794290407,4,661.365,2.29750052480289,1920.91,9.4,NaN,NaN,912,150,0.772454597748377,RESOLVED
14.1774388634741,0,690.63,2.34172510407053,2569.02,9.2,NaN,NaN,813,118,0.755584756898817,RESOLVED
14.1774388634741,2,660.27,2.36270844324151,1995.07,7.8,NaN,NaN,725,131,0.640867636184373,RESOLVED
14.1774388634741,4,663.85,2.34952322584134,2262.47,12,NaN,NaN,655,81,0.989690721649485,BOUNDARY-LIMITED
14.2136982979076,-0,677.615,2.31456866735505,2447.93,8,NaN,NaN,490,92,0.657894736842105,RESOLVED
14.2136982979076,2,664.595,2.34524215172375,1994.33,7.8,NaN,NaN,426,82,0.644042605895467,RESOLVED
14.2136982979076,4,663.83,2.13947589646685,2206.53,6.2,NaN,NaN,366,42,0.511087297007666,RESOLVED
14.249957732341,0,869.38,2.39269506660811,2514.26,9.2,NaN,NaN,278,47,0.762409878180161,RESOLVED
14.249957732341,2,662.165,2.33737974077191,2493.35,8.8,NaN,NaN,232,48,0.726852234244652,RESOLVED
14.249957732341,4,658.42,2.34751346474561,2366.22,8.8,NaN,NaN,208,35,0.731139913592556,RESOLVED
14.2862171667745,0,856.33,2.41181895539008,2663.74,8.8,NaN,NaN,131,22,0.734251147267418,RESOLVED
14.2862171667745,2,638.56,2.42765072377257,2398.115,9.4,NaN,NaN,116,19,0.779242311199536,RESOLVED
14.2862171667745,4,674.865,2.31728821445743,2311.65,8.6,NaN,NaN,108,34,0.727149742115499,RESOLVED
14.3224766012079,-0,843.3,2.30770635500365,2487.73,7,NaN,NaN,59,17,0.609862345356334,RESOLVED
14.3224766012079,2,683.39,2.27062126244427,2317.71,6.8,NaN,NaN,46,14,0.563940952065019,RESOLVED
14.3224766012079,4,629.43,NaN,2587.94,11.6,NaN,NaN,37,6,0.990268055318422,BOUNDARY-LIMITED
