SweepID,ConditionID,RunNumber,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio
65,35,4,1084.38159695817,12.0894579438819,-0.00174334600760456,24.9909586947587,2477.38,2431.88,1.0187098047601
66,34,4,869.575456273764,12.0900176902841,-0.00192585551330798,24.989930951532,2018.47,1990.93,1.01383273143707
67,33,4,647.729201520913,12.0978706841447,-0.0011787072243346,24.9914902860829,1596.5,1548.78,1.03081134828704
68,31,4,204.980760456274,12.1035867151394,-0.000785171102661597,24.9896356230186,664.95,613.66,1.08358048430727
69,35,4,1083.97719165085,12.093769478695,-0.00174573055028463,24.98933269554,2438.16,2413.09,1.01038916907368
70,32,4,427.872946768061,12.0987089250624,-0.00572243346007605,24.9891749105377,1167.35,1106.9,1.05461197940193
71,39,4,866.578857142857,12.087105260031,1.99308190476191,24.9920819556646,2027.77,1954.53,1.03747192419661
72,38,4,658.880513307985,12.0943963961305,1.99198288973384,24.9924944030285,1635.58,1531.84,1.06772247754335
73,36,4,210.585542857143,12.0997000609134,1.99283238095238,24.9897148273133,656.29,652.89,1.00520761537166
74,40,4,1095.14701520913,12.0880020517616,1.99428707224335,24.9906633662453,2471.64,2405.61,1.0274483395064
75,37,4,435.735654648956,12.0957592753626,1.99204364326376,24.9906296752582,1178.98,1107.07,1.06495524221594
76,44,4,876.047741935484,12.0961445748556,3.9917760910816,24.9897571616296,2028.07,1891.97,1.07193560151588
77,43,4,666.684144486692,12.1025471861066,3.99177186311787,24.9897655675645,1593.49,1458.24,1.09274879306561
78,41,4,216.505076045627,12.1192761586319,3.99122243346008,24.9894938653322,614.3,594.6,1.03313151698621
79,45,4,1102.59737642585,12.1057154058909,3.99199809885932,24.9923762716232,2457.49,2366.55,1.03842724641356
80,42,4,443.339752380952,12.1001945705335,3.99210285714286,24.988318221586,1121.98,1044.78,1.07389115411857
