SweepID,ConditionID,RunNumber,FZ_Mean_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakAbsFY_N,SA_AtPeak_deg,PeakStatus,PeakBoundaryDistance_deg
33,50,2,1088.04711026616,14.088191022082,-0.00476235741444867,24.9895765573159,2594.34,10.448,BOUNDARY_LIMITED,0
34,49,2,870.213346007605,14.1004447807605,-0.00432699619771863,24.9930023680716,2121.53,10.304,BOUNDARY_LIMITED,0.173
35,48,2,649.047104761905,14.1059449279539,-0.00469333333333334,24.9946502899259,1640.51,10.065,BOUNDARY_LIMITED,0.377000000000001
36,46,2,209.329410646388,14.0842066203515,-5.13307984790875e-05,24.992636160715,649.78,9.196,RESOLVED,1.29
37,50,2,1083.93721062619,14.1017137523974,-0.00178937381404175,24.9943437535419,2568.77,10.455,BOUNDARY_LIMITED,0.0350000000000001
38,47,2,428.457186311787,14.0901046378612,-0.00126996197718631,24.9947152734495,1147.93,10.052,BOUNDARY_LIMITED,0.424000000000001
39,54,2,870.626254752852,14.1026892811125,1.99393536121673,24.9933567622877,2120.83,10.155,BOUNDARY_LIMITED,0.317
40,53,2,659.623840304183,14.1131810794409,1.99303422053232,24.9970897146974,1662.49,10.466,BOUNDARY_LIMITED,0
41,51,2,211.675817490494,14.1027278843126,1.99573384030418,24.994089177001,645.44,-7.651,RESOLVED,2.828
42,55,2,1095.77268060836,14.0900853362611,1.99313498098859,24.9938292879092,2580.42,10.396,BOUNDARY_LIMITED,0.103
43,52,2,436.993288973384,14.11576473648,1.99267300380228,24.9911358918668,1176.28,10.162,BOUNDARY_LIMITED,0.328999999999999
44,59,2,878.750209125475,14.0850090154404,3.99188403041825,24.9942663741091,2097.33,10.471,BOUNDARY_LIMITED,0
45,58,2,668.832585551331,14.0969429190319,3.98862547528517,24.9938765404713,1638.55,10.268,BOUNDARY_LIMITED,0.224
46,56,2,217.75108365019,14.1010403729915,3.99256273764259,24.9925652818718,612.13,-8.147,RESOLVED,2.319
47,60,2,1106.31435361217,14.0874410170503,3.99210266159696,24.9941836821253,2522.39,10.243,BOUNDARY_LIMITED,0.215
48,57,2,443.993117870722,14.1073602683315,3.98905703422053,24.9960855977517,1131.88,10.412,BOUNDARY_LIMITED,0.0739999999999998
49,5,4,1084.29400379507,8.10033838745533,-0.00198102466793169,24.9865972474072,2661.4,10.231,BOUNDARY_LIMITED,0.263
50,4,4,869.325475285171,8.10267108706798,-0.000925855513307985,24.9898482595483,2255.84,10.441,BOUNDARY_LIMITED,0.0379999999999985
51,3,4,647.314600760456,8.10157365323494,-0.00234030418250951,24.9882771118569,1761.31,9.829,BOUNDARY_LIMITED,0.641999999999999
52,1,4,204.059125475285,8.10620052251093,-0.000361216730038022,24.9863751962305,753.31,7.524,RESOLVED,2.943
53,5,4,1087.07828897338,8.10002952522865,0.00226996197718631,24.9877455205327,2685.17,10.025,BOUNDARY_LIMITED,0.436
54,2,4,425.416711026616,8.09656902407169,0.00246958174904943,24.9885842535108,1279.93,9.643,RESOLVED,0.846
55,9,4,868.869239543726,8.10159019746358,1.9946102661597,24.9863633830899,2232.25,10.325,BOUNDARY_LIMITED,0.164000000000001
56,8,4,659.33220952381,8.10940800726457,1.99247619047619,24.9889455105991,1769.99,10.141,BOUNDARY_LIMITED,0.298
57,6,4,211.230608365019,8.10459573233297,1.99397718631179,24.9887260111973,740.6,7.667,RESOLVED,2.821
58,10,4,1092.90057034221,8.11169872116191,1.99308745247148,24.9891985368187,2655.26,9.973,BOUNDARY_LIMITED,0.526
59,7,4,436.140285171103,8.10848086869165,1.99021482889734,24.9887614506189,1271.91,9.639,RESOLVED,0.851000000000001
60,14,4,876.663847619048,8.10081072269643,3.99254476190476,24.9899988827154,2178.52,10.379,BOUNDARY_LIMITED,0.0850000000000009
61,13,4,667.303783269962,8.10623085359677,3.99197718631179,24.9912776495532,1711.7,8.87,RESOLVED,1.62
62,11,4,216.718288973384,8.10816377097607,3.99107414448669,24.9939828587362,636.09,7.841,RESOLVED,2.649
63,15,4,1099.84666666667,8.09030446523735,3.9926780952381,24.990993076623,2601.79,10.429,BOUNDARY_LIMITED,0.0359999999999996
64,12,4,443.380910815939,8.1065086836223,3.99266034155598,24.9877645291535,1190.87,9.677,RESOLVED,0.82
65,35,4,1084.38159695817,12.0894579438819,-0.00174334600760456,24.9909586947587,2477.38,10.26,BOUNDARY_LIMITED,0.228
66,34,4,869.575456273764,12.0900176902841,-0.00192585551330798,24.989930951532,2018.47,10.078,BOUNDARY_LIMITED,0.406000000000001
67,33,4,647.729201520913,12.0978706841447,-0.0011787072243346,24.9914902860829,1596.5,10.196,BOUNDARY_LIMITED,0.271000000000001
68,31,4,204.980760456274,12.1035867151394,-0.000785171102661597,24.9896356230186,664.95,8.853,RESOLVED,1.621
69,35,4,1083.97719165085,12.093769478695,-0.00174573055028463,24.98933269554,2438.16,10.482,BOUNDARY_LIMITED,0
70,32,4,427.872946768061,12.0987089250624,-0.00572243346007605,24.9891749105377,1167.35,10.132,BOUNDARY_LIMITED,0.348000000000001
71,39,4,866.578857142857,12.087105260031,1.99308190476191,24.9920819556646,2027.77,10.128,BOUNDARY_LIMITED,0.340999999999999
72,38,4,658.880513307985,12.0943963961305,1.99198288973384,24.9924944030285,1635.58,10.367,BOUNDARY_LIMITED,0.126999999999999
73,36,4,210.585542857143,12.0997000609134,1.99283238095238,24.9897148273133,656.29,8.27,RESOLVED,2.196
74,40,4,1095.14701520913,12.0880020517616,1.99428707224335,24.9906633662453,2471.64,10.076,BOUNDARY_LIMITED,0.411
75,37,4,435.735654648956,12.0957592753626,1.99204364326376,24.9906296752582,1178.98,10.258,BOUNDARY_LIMITED,0.229000000000001
76,44,4,876.047741935484,12.0961445748556,3.9917760910816,24.9897571616296,2028.07,10.458,BOUNDARY_LIMITED,0.020999999999999
77,43,4,666.684144486692,12.1025471861066,3.99177186311787,24.9897655675645,1593.49,10.112,BOUNDARY_LIMITED,0.371
78,41,4,216.505076045627,12.1192761586319,3.99122243346008,24.9894938653322,614.3,7.672,RESOLVED,2.794
79,45,4,1102.59737642585,12.1057154058909,3.99199809885932,24.9923762716232,2457.49,10.365,BOUNDARY_LIMITED,0.0790000000000006
80,42,4,443.339752380952,12.1001945705335,3.99210285714286,24.988318221586,1121.98,10.442,BOUNDARY_LIMITED,0
