SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
26,26,26,2,25,526,1097.78279467681,1091.935,28.5482225346726,10.0972791375941,1.9901825095057,24.9889150214459,-10.49,10.481,-2712.87,2637.01,2712.87,-2712.87,10.481,2.47122656062276,-565.092114284384,565.092114284384,32377.3931846196,0.999427598608895,169.95071495313,2712.87,2637.01,1.02876742977842,BOUNDARY_LIMITED,0,NORMAL,GOOD
27,27,27,2,22,526,437.653307984791,438.595,14.9205810587802,10.1082314169531,1.99025475285171,24.9895883704565,-10.486,10.471,-1252.03,1189.39,1252.03,-1252.03,10.176,2.86078038748312,-355.647560808143,355.647560808143,20377.1042284289,0.996005741021116,44.6468344361707,1252.03,1189.39,1.05266565214101,BOUNDARY_LIMITED,0.295,NORMAL,GOOD
28,28,28,2,29,527,880.65660341556,879.14,15.7753246229164,10.1030673573057,3.99273624288425,24.9942140555701,-10.496,10.499,-2210.84,2112.51,2210.84,-2210.84,10.426,2.51044503774278,-486.910303455118,486.910303455118,27897.9053894124,0.998150717350643,258.054943501072,2210.84,2112.51,1.04654652522355,BOUNDARY_LIMITED,0.0730000000000004,NORMAL,GOOD
29,29,29,2,28,527,669.600872865275,668.97,13.6261872122719,10.1213470661107,3.98990891840607,24.9953931280412,-10.496,10.496,-1692.15,1627.9,1692.15,-1692.15,8.434,2.52710244053171,-417.85060849149,417.85060849149,23941.0763335357,0.997839383851134,169.196329592722,1692.15,1627.9,1.03946802629154,RESOLVED,2.062,NORMAL,GOOD
30,30,30,2,26,525,219.886723809524,220,14.5228171202659,10.1125145339229,3.99217333333333,24.9947449750599,-10.449,10.45,-621.66,605.94,621.66,-621.66,10.109,2.82718296598257,-185.06328150007,185.06328150007,10603.3449727955,0.993507105805329,15.2634426927383,621.66,605.94,1.02594316268938,BOUNDARY_LIMITED,0.340999999999999,LOW_LOAD,GOOD
31,31,31,2,30,526,1104.84355513308,1100.765,25.8999481687991,10.0951476894712,3.98971673003803,24.99296692865,-10.493,10.48,-2654.96,2561.62,2654.96,-2654.96,10.167,2.40301895020803,-531.159021453519,531.159021453519,30433.1701795854,0.998994568656135,330.502868470906,2654.96,2561.62,1.0364378791546,BOUNDARY_LIMITED,0.313000000000001,NORMAL,GOOD
32,32,32,2,27,526,446.741064638783,446.78,14.5295415720165,10.1082010858672,3.9926349809886,24.9925180293096,-10.478,10.478,-1174.39,1127.92,1174.39,-1174.39,8.244,2.62879348454247,-317.659767617178,317.659767617178,18200.5640055708,0.996867149679546,83.2178960421304,1174.39,1127.92,1.04119973047734,RESOLVED,2.234,NORMAL,GOOD
33,33,33,2,50,526,1088.04711026616,1084.83,26.1447758601291,14.088191022082,-0.00476235741444867,24.9895765573159,-10.488,10.448,-2594.34,2496.28,2594.34,-2594.34,10.448,2.38440043222519,-583.506872587092,583.506872587092,33432.4811161183,0.997934503398825,-42.3879286208532,2594.34,2496.28,1.03928245228901,BOUNDARY_LIMITED,0,NORMAL,GOOD
34,34,34,2,49,526,870.213346007605,870.44,20.0351123262577,14.1004447807605,-0.00432699619771863,24.9930023680716,-10.474,10.477,-2121.53,2025.24,2121.53,-2121.53,10.304,2.43794238474189,-510.913475608055,510.913475608055,29273.1858487017,0.996696316512019,-22.7009138408659,2121.53,2025.24,1.04754498232308,BOUNDARY_LIMITED,0.173,NORMAL,GOOD
35,35,35,2,48,525,649.047104761905,649.71,16.7398518762336,14.1059449279539,-0.00469333333333334,24.9946502899259,-10.444,10.442,-1640.51,1551.49,1640.51,-1640.51,10.065,2.52756693306844,-418.92123417071,418.92123417071,24002.4186663933,0.994090436154977,-8.83222924272914,1640.51,1551.49,1.05737710201161,BOUNDARY_LIMITED,0.377000000000001,NORMAL,GOOD
