ConditionID,SweepCount,SampleCount,FZ_Mean_N,FZ_Median_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,PeakFY_Mean_N,PeakFY_Std_N,MuY_Mean,MuY_Std,CorneringStiffness_Mean_N_per_deg,CorneringStiffness_Std_N_per_deg,PeakSlipAngle_Mean_deg,PeakSlipAngle_Std_deg,SymmetryRatio_Mean,MuY,LoadSensitivity_FY_per_FZ
31,2,1052,206.225133079848,206.865,12.099621615009,-0.000508555133079848,24.9881885133029,666.195,1.76069588515451,3.2305070398693,0.0190295831526526,207.26578596124,7.88236266223703,8.728,0.176776695296637,1.0641745637365,3.23042584601973,3.23042584601973
32,2,1052,428.227994296578,428.76,12.0965953998538,-0.00113878326996198,24.988631506073,1184.175,23.7941431869274,2.76526028199119,0.0523218245095865,333.872281745989,17.4769370845708,NaN,NaN,1.04625788834763,2.76529095662036,2.76529095662036
33,2,1052,649.987119771863,650.0275,12.1003468036976,-0.00261406844106464,24.9893521076457,1660.9,91.0753534168273,2.55496805618382,0.127566964852247,435.857708595818,20.3834686549029,NaN,NaN,1.0371203503738,2.55528140401144,2.55528140401144
34,2,1053,871.529246163447,871.115,12.0886543166089,-0.00314129587809612,24.9899560684656,2115.685,137.4827714661,2.42731693153479,0.150053380876727,519.497564584185,22.3759543112078,NaN,NaN,1.02351455415816,2.42755479441848,2.42755479441848
35,4,2105,1085.7070260496,1081.31,12.0915698418751,-0.00102198396836964,24.9896071437111,2554.0475,112.355035898115,2.3523076534649,0.0996350865554377,576.051470062817,21.7425260674964,NaN,NaN,1.01647800371615,2.35242790064005,2.35242790064005
36,2,1051,213.272457740359,213.4625,12.1048626191824,1.9915064946587,24.9894684952065,674.2,25.3285649021022,3.16065824755719,0.0624481470591091,209.622626998673,2.87960109198434,7.897,0.527501658765164,0.981212699335999,3.16121456630271,3.16121456630271
37,2,1054,436.637504743833,437.665,12.0901105095808,1.99330360531309,24.9897335801802,1195.17,22.8961175748203,2.73714842638906,0.0444422080664164,334.02948929426,15.2978444163922,NaN,NaN,1.04202190169047,2.73721333374966,2.73721333374966
38,2,1052,660.902642585551,661.865,12.0971427380846,1.99265589353612,24.9912894626938,1680.21,63.1163512887112,2.54211296449018,0.0845005144007866,436.182786132952,22.523866337528,NaN,NaN,1.05312234446391,2.54229578115585,2.54229578115585
39,2,1051,869.594580662683,869.485,12.0974264243365,1.99417783451023,24.9900791220662,2114.025,121.982990822491,2.43073190577687,0.128354316434593,510.746802538016,31.0084649165909,NaN,NaN,1.03741058704998,2.4310466589948,2.4310466589948
40,2,1052,1097.07326045627,1096.1075,12.0928467533814,1.99258460076046,24.9902499063265,2562.16,128.014611666013,2.33531255867763,0.110888615533483,564.216688264642,30.8500814364112,NaN,NaN,1.02290512067168,2.33545023140423,2.33545023140423
41,2,1052,218.491254752852,218.525,12.113123084264,3.99178231939164,24.9889209280161,627.865,19.183806973591,2.87331210272922,0.0508625189666261,184.596748236919,2.56842683337795,7.792,0.169705627484772,0.992377616373154,2.87363904203038,2.87363904203038
42,2,1051,444.692357179069,445.53,12.1012192228909,3.99223583921782,24.9896030187507,1147.295,35.8008163314748,2.57982534574798,0.0694096492447946,307.365479544287,6.11624410274772,NaN,NaN,1.04416932285264,2.57997463072658,2.57997463072658
43,2,1052,668.890922053232,669.455,12.107856504814,3.99207034220532,24.9898718858293,1643.395,70.5763278302293,2.45667594990811,0.0940503106184824,404.4856873335,17.7055727330886,NaN,NaN,1.06035223839045,2.4568953559056,2.4568953559056
44,2,1053,878.818652336563,878.8,12.0820833565822,3.99215515580696,24.9898086171592,2096.305,96.4988624285282,2.38514588654528,0.0991698214834567,474.399734839121,21.5964539088548,NaN,NaN,1.05227611544616,2.38536698604022,2.38536698604022
45,2,1053,1105.00774893399,1103.0775,12.099205775142,3.99064326195338,24.9911610424241,2537.78,113.547206922936,2.296469811033,0.095672671289022,531.687388309691,23.2383279203976,NaN,NaN,1.03265330252148,2.29661737888102,2.29661737888102
46,1,526,209.329410646388,209.17,14.0842066203515,-5.13307984790875e-05,24.992636160715,649.78,0,3.10410275361473,0,199.888614558877,0,9.196,0,1.07419408166639,3.10410275361473,3.10410275361473
47,1,526,428.457186311787,428.58,14.0901046378612,-0.00126996197718631,24.9947152734495,1147.93,0,2.67921751968155,0,317.36653357766,0,NaN,NaN,1.07296213558657,2.67921751968155,2.67921751968155
48,1,525,649.047104761905,649.71,14.1059449279539,-0.00469333333333334,24.9946502899259,1640.51,0,2.52756693306844,0,418.92123417071,0,NaN,NaN,1.05737710201161,2.52756693306844,2.52756693306844
49,1,526,870.213346007605,870.44,14.1004447807605,-0.00432699619771863,24.9930023680716,2121.53,0,2.43794238474189,0,510.913475608055,0,NaN,NaN,1.04754498232308,2.43794238474189,2.43794238474189
50,2,1053,1085.99216044617,1082.92,14.0949523872397,-0.00327586561424521,24.9919601554289,2581.555,18.0807203949401,2.37712586255112,0.0102877950935049,579.133829401771,6.18441698152528,NaN,NaN,1.04299563950315,2.37713962772934,2.37713962772934
51,1,526,211.675817490494,211.685,14.1027278843126,1.99573384030418,24.994089177001,645.44,0,3.04919101129247,0,197.802638758042,0,7.651,0,0.975241695587506,3.04919101129247,3.04919101129247
52,1,526,436.993288973384,437.535,14.11576473648,1.99267300380228,24.9911358918668,1176.28,0,2.69175758456932,0,317.770984623605,0,NaN,NaN,1.03501130674269,2.69175758456932,2.69175758456932
53,1,526,659.623840304183,660.425,14.1131810794409,1.99303422053232,24.9970897146974,1662.49,0,2.52036069410916,0,422.140592380899,0,NaN,NaN,1.07615675409751,2.52036069410916,2.52036069410916
54,1,526,870.626254752852,871.2,14.1026892811125,1.99393536121673,24.9933567622877,2120.83,0,2.43598213173809,0,502.505639473205,0,NaN,NaN,1.06571694178538,2.43598213173809,2.43598213173809
55,1,526,1095.77268060836,1098.24,14.0900853362611,1.99313498098859,24.9938292879092,2580.42,0,2.35488623294329,0,570.05718475654,0,NaN,NaN,1.0607706189699,2.35488623294329,2.35488623294329
56,1,526,217.75108365019,217.045,14.1010403729915,3.99256273764259,24.9925652818718,612.13,0,2.81114559679237,0,178.017996530313,0,8.147,0,0.977847842778495,2.81114559679237,2.81114559679237
57,1,526,443.993117870722,444.72,14.1073602683315,3.98905703422053,24.9960855977517,1131.88,0,2.54931879446287,0,297.730878250966,0,NaN,NaN,1.06090542693786,2.54931879446287,2.54931879446287
58,1,526,668.832585551331,669.235,14.0969429190319,3.98862547528517,24.9938765404713,1638.55,0,2.44986568447366,0,394.542700471169,0,NaN,NaN,1.08346062036725,2.44986568447366,2.44986568447366
59,1,526,878.750209125475,879.08,14.0850090154404,3.99188403041825,24.9942663741091,2097.33,0,2.38671920441105,0,470.035488072188,0,NaN,NaN,1.08029606889731,2.38671920441105,2.38671920441105
60,1,526,1106.31435361217,1106.045,14.0874410170503,3.99210266159696,24.9941836821253,2522.39,0,2.27999392014058,0,534.695020278356,0,NaN,NaN,1.06525246211801,2.27999392014058,2.27999392014058
