Pressure_psi,Camber_deg,Fz_N,Measured_Fy_peak_N,MF_Fy_peak_N,Fy_error_pct,Measured_mu,MF_mu,mu_error_pct,Measured_peak_SA_deg,MF_peak_SA_deg,Peak_SA_error_deg,Measured_Calpha_N_per_deg,MF_Calpha_N_per_deg,Calpha_error_pct
10.1526416413626,2,656.71,2276.8,1736.93410612907,-23.7116081285545,2.58577309629493,2.64490278224646,2.28673142420163,11.4,9.71,-1.69,NaN,-468.453339176008,NaN
10.1526416413626,4,654.31,2166.29,1697.91069500369,-21.6212651582342,2.42348642064423,2.59496369458466,7.07564410015737,12.2,10.35,-1.85,NaN,-427.699673573235,NaN
10.188901075796,-0,669.5,2653.505,1759.45456575606,-33.6931882262872,2.58773087161214,2.62801279425849,1.55665038772962,9.6,9.35,-0.25,NaN,-487.241001048463,NaN
10.188901075796,2,660.66,2573.91,1744.42036271011,-32.2268314467052,2.54279392757782,2.64042073488649,3.83935191325823,11.6,9.71,-1.89,NaN,-469.695486580041,NaN
10.188901075796,4,664.71,2495.59,1718.76212555011,-31.1280248137671,2.43652861257224,2.58573231266283,6.1236178110413,7.8,10.37,2.57,NaN,-431.179248284822,NaN
10.2251605102294,-0,883.73,2814.49,2209.31780986397,-21.502019553668,2.58478419525057,2.49999186387694,-3.28044142058088,9.4,9.91,0.51,NaN,-549.311812447137,NaN
10.2251605102294,2,656.26,2624.69,1733.47886791618,-33.9549101830623,2.6218485407502,2.64145135756588,0.747671595479279,10.2,9.7,-0.499999999999998,NaN,-467.656887441939,NaN
10.2251605102294,4,670.3,2523.48,1729.33104946583,-31.4703881359934,2.53516108395619,2.57993592341613,1.76615362800022,8.4,10.38,1.98,NaN,-432.873988654084,NaN
10.2614199446629,-0,1050.66,2863.19,2521.59096730878,-11.9307147863475,2.60512042535195,2.40000663136388,-7.87348607734162,9.2,10.5,1.3,NaN,-571.916841838198,NaN
10.2614199446629,2,859.93,2639.105,2155.10042440559,-18.3397240956464,2.54554901608835,2.50613471376227,-1.54836155489338,7.6,10.22,2.62,NaN,-528.13430907769,NaN
10.2614199446629,4,667.73,2208.5,1722.70090884052,-21.9967892759557,2.54439640241187,2.57993636475899,1.39679345220841,10.4,10.38,-0.0199999999999996,NaN,-431.68059154459,NaN
10.2976793790963,0,1049.06,2653.395,2516.9807517906,-5.14112102455142,NaN,2.39927244560903,NaN,9.2,10.49,1.29,NaN,-571.40380177965,NaN
10.2976793790963,2,857.18,2359.06,2148.23685940186,-8.93674347401656,2.33320856935345,2.50616773536698,7.4129320578252,5.6,10.21,4.61,NaN,-527.204776268272,NaN
10.2976793790963,4,673.66,2575.23,1733.94580460197,-32.668312942845,2.41580763242275,2.5739183038951,6.544836987446,7.2,10.39,3.19,NaN,-433.475239592391,NaN
11.8205756253007,-0,1110.23,1602.57,2551.59805934658,59.2191329768172,1.2498434053215,2.29826077420587,83.8838981283964,3,10.72,7.72,NaN,-559.567304781326,NaN
11.8568350597341,-0,1064.14,1903.155,2472.05955546991,29.8927073974483,1.51521872534409,2.32305857826029,53.3150653040372,4,10.54,6.54,493.363142762421,-556.32933606977,-212.762646385539
11.8568350597341,2,904.56,1886.17,2175.7399615529,15.3522726770597,1.7474428267108,2.40530198279041,37.6469630950901,4.2,10.36,6.16,NaN,-521.123731673212,NaN
11.8568350597341,4,1088.51,1965.05,2418.13501942476,23.0571751062189,1.75899660971716,2.22150923686944,26.2941170322467,5,11.73,6.73,NaN,-497.576348966084,NaN
11.8930944941676,-0,1073.08,1985.245,2485.79766672956,25.2136470173486,2.13757704422269,2.3165073123435,8.37070498134376,11.2,10.58,-0.619999999999999,502.682418032161,-556.590868235038,-210.724156697963
11.8930944941676,2,872.325,2330.67,2114.58027958009,-9.27157085387068,2.46955345060893,2.42407391692327,-1.84160961061381,6.8,10.26,3.46,NaN,-514.886245123697,NaN
11.8930944941676,4,903.07,2151.99,2116.31793244941,-1.65763165956133,1.87845026025413,2.3434705310213,24.7555275008591,5.8,11.03,5.23,NaN,-477.211869596692,NaN
11.929353928601,-0,883.345,2326.83,2140.3012032283,-8.01643423764075,2.34810920536447,2.42295049298779,3.18730012438702,9.6,9.91,0.31,NaN,-532.181967595555,NaN
11.929353928601,2,830.18,2267.73,2033.20083305684,-10.3420233865213,2.39029500501962,2.44910842595201,2.4605088831664,9.2,10.13,0.930000000000001,NaN,-505.670752423296,NaN
11.929353928601,4,874.095,2436.345,2064.13172578572,-15.2775273704781,2.42567236804018,2.36145010071643,-2.64760683140577,11.6,10.94,-0.66,NaN,-471.918990676463,NaN
11.9656133630344,0,673.21,2097.21,1710.51859422468,-18.4383731612629,2.42637273097642,2.54083955114255,4.71761072422165,12.2,9.35,-2.85,NaN,-472.888559344182,NaN
11.9656133630344,2,666.725,1982.96,1700.86510660461,-14.2259497617394,2.43298848422432,2.55107444089334,4.85353537160979,8.8,9.72,0.92,NaN,-456.772992390735,NaN
11.9656133630344,4,667.98,2032.375,1669.82594657621,-17.8386888947062,2.37509491268033,2.49981428572145,5.25113217056125,8.4,10.37,1.97,NaN,-418.34462790262,NaN
12.0018727974679,0,667.79,2056.5,1697.73068269452,-17.4456269052019,2.41343236891131,2.54231222793771,5.34010650915967,12.2,9.34,-2.86,NaN,-470.503252789758,NaN
12.0018727974679,2,663.53,2225.04,1692.99209239897,-23.9118356344621,2.48155663371724,2.55149291275295,2.81824231151841,12.2,9.71,-2.49,NaN,-455.268115276115,NaN
12.0018727974679,4,665.19,2442.02,1663.07180253153,-31.8976993418757,2.40154117129018,2.50014552613769,4.10587817632679,12.2,10.37,-1.83,NaN,-417.10113753137,NaN
12.0381322319013,0,659.81,2199.33,1679.37384035389,-23.6415708259384,2.40048116542392,2.54523853890346,6.03034823037125,12.2,9.33,-2.87,NaN,-467.093304910224,NaN
12.0381322319013,2,661.34,1904.52,1687.26071681293,-11.4075611275842,2.52269016030945,2.5512757686106,1.13313988181734,11.6,9.71,-1.89,NaN,-454.134271761153,NaN
12.0381322319013,4,666.165,1994.835,1664.01567418698,-16.5837939384973,2.41547100865173,2.49790318342599,3.41267498053209,12.2,10.37,-1.83,NaN,-417.152615378369,NaN
12.0743916663348,-0,659.34,2087.65,1677.29820355628,-19.6561586685375,2.41594341662291,2.54390481929851,5.29653972005954,12.2,9.33,-2.87,NaN,-466.590386388509,NaN
12.0743916663348,2,658.85,2196.35,1680.89259581814,-23.4688189123709,2.47044428964885,2.55125232726439,3.27099210268056,12.2,9.7,-2.5,NaN,-452.883179363094,NaN
12.0743916663348,4,655.18,1808.21,1640.47117352282,-9.27651248899094,2.41760258695935,2.50384806239937,3.56739672207617,11.6,10.35,-1.25,NaN,-413.041595249538,NaN
12.1106511007682,0,656.76,1941.25,1670.64747002069,-13.9396023170284,2.42125676142249,2.54377165177643,5.05997101612466,12.2,9.32,-2.88,NaN,-465.259150029957,NaN
12.1106511007682,2,655.145,1871.08,1671.93221098006,-10.6434673568177,2.46126225770201,2.55200331373979,3.68676908581463,11.4,9.7,-1.7,NaN,-451.163285046835,NaN
