ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,CAlpha_NperDeg,Samples
23,10.103326182,4,908.765,2060.10619047619,2.2669295037509,-11.481,474.438803138401,260
23,10.103326182,4,1080.99,2713.50095238095,2.51019986529103,10.852,538.054710921423,537
23,10.103326182,4,1125.39,2712.69666666667,2.41045030315417,10.821,525.799156628084,713
31,12.099044934,0,393.105,711.333809523809,1.80952623223772,2.93,293.003821902608,94
31,12.099044934,0,432.46,1193.8680952381,2.76064397918442,11.765,327.492011618551,4901
31,12.099044934,0,655.65,1728.33142857143,2.63605800132911,10.567,428.333223237099,4954
31,12.099044934,0,872.48,2245.07238095238,2.57320784539747,10.197,510.088335988799,4487
31,12.099044934,0,905.37,2214.94,2.44644730883506,11.702,513.437969752718,510
31,12.099044934,0,1078.56,2761.1780952381,2.56005979754311,9.902,572.266871493932,4180
31,12.099044934,0,1114.95,2761.55428571429,2.47684137020879,9.71,565.226533140032,3316
32,12.091793049,2,437.06,1190.69761904762,2.72433445990852,11.788,327.174705895652,2467
32,12.091793049,2,663.16,1740.8419047619,2.62507072917834,10.476,429.966875911245,2494
32,12.091793049,2,872.65,2252.27238095238,2.58095729210151,9.927,505.949663488375,2393
32,12.091793049,2,902.71,2055.41666666667,2.27694017643171,-10.245,523.548897236203,107
32,12.091793049,2,1080.99,2763.59857142857,2.55654406740911,9.064,570.118075887452,1103
32,12.091793049,2,1117.445,2763.38333333333,2.47294796015315,9.231,558.291582757427,1396
33,12.091793049,4,441.19,1140.21666666667,2.5844118558142,10.796,294.51084006576,2473
33,12.091793049,4,667.415,1698.73428571429,2.5452443917417,10.226,393.216731589095,2470
33,12.091793049,4,877.5,2217.91761904762,2.52754144620811,10.524,468.113884645378,2189
33,12.091793049,4,904.91,2051.65476190476,2.26724730846688,-11.509,473.640654091075,307
33,12.091793049,4,1083.59,2709.16428571429,2.50017468388808,10.262,542.047464512643,928
33,12.091793049,4,1119.615,2709.47476190476,2.42000577154179,10.212,525.212873441697,1570
41,14.094763686,0,433,1131.47904761905,2.61311558341581,11.667,316.918893983379,1221
41,14.094763686,0,656.125,1648.30523809524,2.51218173076051,11.766,417.479915369358,1234
41,14.094763686,0,877.235,2148.38476190476,2.44904131949222,10.215,505.638125578744,1082
41,14.094763686,0,904.88,2115.62380952381,2.3380158800325,11.597,511.304073914456,167
41,14.094763686,0,1079.99,2672.60571428571,2.47465783413338,9.58,581.287210568225,1296
41,14.094763686,0,1113.05,2673.35571428571,2.40182895133706,9.923,577.065194652631,1202
42,14.102015571,2,437.25,1152.54952380952,2.63590514307495,11.813,310.562549832409,1223
42,14.102015571,2,661.62,1667.54142857143,2.52039150656182,11.708,412.810244804703,1233
42,14.102015571,2,872.88,2141.80333333333,2.45372025173372,11.665,498.093111894314,1171
42,14.102015571,2,903.7,1939.44904761905,2.14612044662947,-11.746,NaN,79
42,14.102015571,2,1083.65,2635.34619047619,2.4319163848809,10.661,573.438957509271,563
42,14.102015571,2,1114.13,2636.0219047619,2.36599131588047,10.629,563.762488212856,686
43,14.087511801,4,440.35,1106.62857142857,2.51306590536748,12.139,281.65109718131,1233
43,14.087511801,4,667.12,1640.67428571429,2.45933907799839,11.695,380.241715928115,1210
43,14.087511801,4,875.99,2128.58047619048,2.42991412709104,11.071,461.48948180443,1083
43,14.087511801,4,905.575,1885.6219047619,2.08223714740569,7.277,NaN,166
43,14.087511801,4,1084.155,2599.3719047619,2.39760173108264,11.296,543.87716360646,416
43,14.087511801,4,1118.655,2599.57428571429,2.32383915122561,11.244,525.906529755026,834
