ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,PeakFY_Pos_N,PeakFY_Neg_N,PeakSA_Pos_deg,PeakSA_Neg_deg,Mu_Pos,Mu_Neg,CAlpha_NperDeg,Samples
21,10.103326182,0,1113.97,2869.49047619048,2.57591360287124,9.979,2869.49047619048,2717.33238095238,9.979,-10.784,2.57591360287124,2.4675205958305,584.771372433612,1271
22,10.103326182,2,424.94,1230.41857142857,2.89551129907416,10.885,1230.41857142857,1156.28142857143,10.885,-6.808,2.89551129907416,2.67707313523668,350.662368556326,1235
22,10.103326182,2,650.75,1799.32476190476,2.76500155498235,10.524,1799.32476190476,1670.63523809524,10.524,-9.973,2.76500155498235,2.56953602610892,460.301076718859,1250
22,10.103326182,2,873.48,2318.07238095238,2.65383566990931,10.395,2318.07238095238,2161.32904761905,10.395,-9.83,2.65383566990931,2.4916753678945,534.766778101209,1090
22,10.103326182,2,900.38,2081.93857142857,2.31228877965811,-8.208,2075.67476190476,2081.93857142857,6.576,-8.208,2.29803237445725,2.31228877965811,515.517979435118,159
22,10.103326182,2,1096.63,2810.32333333333,2.56269054588451,9.762,2810.32333333333,2618.69761904762,9.762,-10.129,2.56269054588451,2.39594647524417,572.575751918027,571
22,10.103326182,2,1104.99,2812.23,2.54502755681047,9.841,2812.23,2611.17476190476,9.841,-10.642,2.54502755681047,2.36847693080516,557.629380028327,679
23,10.103326182,4,421.33,1137.95,2.70085206370304,8.498,1137.95,1096.62619047619,8.498,-7.26,2.70085206370304,2.47534240096653,306.550530160352,1232
23,10.103326182,4,643.09,1672.67666666667,2.60099934171992,8.068,1672.67666666667,1608.67904761905,8.068,-9.772,2.60099934171992,2.43142445454951,412.219811794041,1230
23,10.103326182,4,873.59,2229.10714285714,2.55166284281773,9.68,2229.10714285714,2096.89666666667,9.68,-9.532,2.55166284281773,2.39483852792593,492.625872249022,987
23,10.103326182,4,902.53,2060.10619047619,2.28259026345517,-11.481,2036.80285714286,2060.10619047619,6.827,-11.481,2.26241042469327,2.28259026345517,474.438803138401,260
23,10.103326182,4,1098.49,2713.50095238095,2.47020997221727,10.852,2713.50095238095,2552.65380952381,10.852,-10.095,2.47020997221727,2.3287449797234,538.054710921423,537
23,10.103326182,4,1102.8,2712.69666666667,2.45982650223673,10.821,2712.69666666667,2552.27952380952,10.821,-10.143,2.45982650223673,2.30898208184547,525.799156628084,713
