SweepID,RunNumber,FileName,RegionID,StartTime_s,EndTime_s,Duration_s,SampleCount,Pressure_psi,FZ_N,IA_deg,Speed_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,Direction,SweepType
71,4,B1965run4.mat,23,924.219,936.219,12,1201,12,871.05,2,25,-12.122,12.175,-2069.11,1954.53,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
72,4,B1965run4.mat,24,957.998,970.008,12.01,1202,12,670,2,25,-12.083,12.176,-1667.93,1531.84,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
73,4,B1965run4.mat,25,991.788,1003.787,11.999,1201,12,260,2,25,-12.014,12.125,-660.98,652.89,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
74,4,B1965run4.mat,26,1025.617,1037.616,11.999,1201,12,1160,2,25,-12.157,12.167,-2534.05,2405.61,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
75,4,B1965run4.mat,27,1059.394,1071.383,11.989,1200,12,470,2,25,-12.052,12.156,-1194.55,1107.07,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
76,4,B1965run4.mat,28,1093.202,1105.211,12.009,1202,12,878.17,4,25,-12.129,12.155,-2070.45,1891.97,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
77,4,B1965run4.mat,29,1126.989,1138.988,11.999,1201,12,670,4,25,-12.081,12.123,-1634.31,1458.24,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
78,4,B1965run4.mat,30,1160.757,1172.766,12.009,1202,12,260,4,25,-11.957,12.137,-614.3,594.6,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
79,4,B1965run4.mat,31,1194.604,1206.614,12.01,1202,12,1160,4,25,-12.146,12.162,-2515.33,2366.55,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
80,4,B1965run4.mat,32,1228.372,1240.371,11.999,1201,12,470,4,25,-12.029,12.153,-1129.6,1044.78,POS_TO_NEG,RUN4_12PSI_OR_REPEAT
81,4,B1965run4.mat,33,1333.624,1345.623,11.999,1201,12,873.52,0,15,-12.248,12.296,-2197.37,2060.65,POS_TO_NEG,SPEED_TEST_15MPH
82,4,B1965run4.mat,34,1367.402,1379.411,12.009,1202,12,670,0,15,-12.214,12.27,-1687.37,1602.77,POS_TO_NEG,SPEED_TEST_15MPH
83,4,B1965run4.mat,35,1401.169,1413.169,12,1201,12,260,0,15,-12.085,12.173,-687.77,629.83,POS_TO_NEG,SPEED_TEST_15MPH
84,4,B1965run4.mat,36,1435.017,1447.016,11.999,1201,12,1160,0,15,-12.258,12.31,-2630.71,2478.7,POS_TO_NEG,SPEED_TEST_15MPH
85,4,B1965run4.mat,37,1468.785,1480.794,12.009,1202,12,470,0,15,-12.157,12.221,-1194.34,1125.44,POS_TO_NEG,SPEED_TEST_15MPH
86,4,B1965run4.mat,38,1513.551,1525.56,12.009,1202,12,865.545,0,45,-12.046,12.066,-2034.92,1924.05,POS_TO_NEG,SPEED_TEST_45MPH
87,4,B1965run4.mat,39,1547.349,1559.348,11.999,1201,12,670,0,45,-12.039,12.083,-1604.5,1535.81,POS_TO_NEG,SPEED_TEST_45MPH
88,4,B1965run4.mat,40,1581.136,1593.135,11.999,1201,12,260,0,45,-12.001,12.064,-678.53,606.8,POS_TO_NEG,SPEED_TEST_45MPH
89,4,B1965run4.mat,41,1614.954,1626.943,11.989,1200,12,1160,0,45,-12.027,12.065,-2491.69,2317.69,POS_TO_NEG,SPEED_TEST_45MPH
90,4,B1965run4.mat,42,1648.741,1660.751,12.01,1202,12,470,0,45,-12.045,12.071,-1151.22,1086.44,POS_TO_NEG,SPEED_TEST_45MPH
